date,open,high,low,close,volume
1980-12-12,0.1007,0.1011,0.1007,0.1007,469033600
1980-12-15,0.0959,0.0959,0.0954,0.0954,175884800
1980-12-16,0.0889,0.0889,0.0884,0.0884,105728000
1980-12-17,0.0906,0.0911,0.0906,0.0906,86441600
1980-12-18,0.0933,0.0937,0.0933,0.0933,73449600
1980-12-19,0.0990,0.0994,0.0990,0.0990,48630400
1980-12-22,0.1038,0.1042,0.1038,0.1038,37363200
1980-12-23,0.1082,0.1086,0.1082,0.1082,46950400
1980-12-24,0.1138,0.1143,0.1138,0.1138,48003200
1980-12-26,0.1243,0.1248,0.1243,0.1243,55574400
1980-12-29,0.1261,0.1266,0.1261,0.1261,93161600
1980-12-30,0.1235,0.1235,0.1230,0.1230,68880000
1980-12-31,0.1200,0.1200,0.1195,0.1195,35750400
1981-01-02,0.1208,0.1217,0.1208,0.1208,21660800
1981-01-05,0.1186,0.1186,0.1182,0.1182,35728000
1981-01-06,0.1134,0.1134,0.1130,0.1130,45158400
1981-01-07,0.1086,0.1086,0.1082,0.1082,55686400
1981-01-08,0.1064,0.1064,0.1060,0.1060,39827200
1981-01-09,0.1117,0.1121,0.1117,0.1117,21504000
1981-01-12,0.1117,0.1117,0.1108,0.1108,23699200
1981-01-13,0.1073,0.1073,0.1068,0.1068,23049600
1981-01-14,0.1073,0.1077,0.1073,0.1073,14291200
1981-01-15,0.1095,0.1103,0.1095,0.1095,14067200
1981-01-16,0.1090,0.1090,0.1086,0.1086,13395200
1981-01-19,0.1151,0.1156,0.1151,0.1151,41574400
1981-01-20,0.1121,0.1121,0.1117,0.1117,30083200
1981-01-21,0.1138,0.1147,0.1138,0.1138,15904000
1981-01-22,0.1151,0.1160,0.1151,0.1151,35548800
1981-01-23,0.1151,0.1156,0.1147,0.1147,11222400
1981-01-26,0.1134,0.1134,0.1130,0.1130,24640000
1981-01-27,0.1130,0.1130,0.1121,0.1121,23699200
1981-01-28,0.1090,0.1090,0.1086,0.1086,28156800
1981-01-29,0.1051,0.1051,0.1046,0.1046,43904000
1981-01-30,0.0998,0.0998,0.0990,0.0990,46188800
1981-02-02,0.0937,0.0937,0.0933,0.0933,23766400
1981-02-03,0.0967,0.0972,0.0967,0.0967,19152000
1981-02-04,0.1002,0.1007,0.1002,0.1002,27865600
1981-02-05,0.1002,0.1011,0.1002,0.1002,7929600
1981-02-06,0.1007,0.1011,0.1007,0.1007,13865600
1981-02-09,0.0963,0.0963,0.0954,0.0954,16755200
1981-02-10,0.0954,0.0959,0.0954,0.0954,18345600
1981-02-11,0.0928,0.0928,0.0924,0.0924,13843200
1981-02-12,0.0919,0.0919,0.0915,0.0915,14560000
1981-02-13,0.0902,0.0902,0.0893,0.0893,11155200
1981-02-17,0.0915,0.0919,0.0915,0.0915,12275200
1981-02-18,0.0954,0.0963,0.0954,0.0954,19241600
1981-02-19,0.0902,0.0902,0.0898,0.0898,22310400
1981-02-20,0.0854,0.0854,0.0849,0.0849,24371200
1981-02-23,0.0862,0.0867,0.0862,0.0862,14112000
1981-02-24,0.0841,0.0841,0.0832,0.0832,16979200
1981-02-25,0.0884,0.0889,0.0884,0.0884,19488000
1981-02-26,0.0898,0.0902,0.0898,0.0898,10841600
1981-02-27,0.0928,0.0937,0.0928,0.0928,14761600
1981-03-02,0.0933,0.0937,0.0933,0.0933,11760000
1981-03-03,0.0924,0.0924,0.0919,0.0919,16172800
1981-03-04,0.0915,0.0915,0.0911,0.0911,13708800
1981-03-05,0.0911,0.0911,0.0906,0.0906,5376000
1981-03-06,0.0906,0.0906,0.0898,0.0898,11603200
1981-03-09,0.0832,0.0832,0.0828,0.0828,15321600
1981-03-10,0.0793,0.0793,0.0788,0.0788,28380800
1981-03-11,0.0766,0.0766,0.0757,0.0757,29859200
1981-03-12,0.0788,0.0793,0.0788,0.0788,59248000
1981-03-13,0.0784,0.0784,0.0779,0.0779,231302400
1981-03-16,0.0810,0.0819,0.0810,0.0810,37228800
1981-03-17,0.0849,0.0858,0.0849,0.0849,43747200
1981-03-18,0.0902,0.0911,0.0902,0.0902,36937600
1981-03-19,0.0898,0.0898,0.0893,0.0893,37811200
1981-03-20,0.0902,0.0911,0.0902,0.0902,14604800
1981-03-23,0.0937,0.0946,0.0937,0.0937,22019200
1981-03-24,0.0937,0.0937,0.0933,0.0933,28156800
1981-03-25,0.0924,0.0924,0.0915,0.0915,7056000
1981-03-26,0.0902,0.0902,0.0898,0.0898,12275200
1981-03-27,0.0871,0.0871,0.0867,0.0867,12252800
1981-03-30,0.0867,0.0876,0.0867,0.0867,9900800
1981-03-31,0.0867,0.0867,0.0858,0.0858,15993600
1981-04-01,0.0854,0.0854,0.0849,0.0849,34070400
1981-04-02,0.0924,0.0928,0.0924,0.0924,31404800
1981-04-03,0.0928,0.0933,0.0928,0.0928,16486400
1981-04-06,0.0915,0.0915,0.0911,0.0911,22803200
1981-04-07,0.0906,0.0906,0.0902,0.0902,10684800
1981-04-08,0.0946,0.0954,0.0946,0.0946,21952000
1981-04-09,0.0963,0.0967,0.0963,0.0963,12499200
